Country,Category,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Matches
Mexico,world_cup,Armando González,FW,23-055,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
Mexico,world_cup,Alexis Vega,"FW,MF",28-201,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Mexico,world_cup,Squad Total,,28.1,1.0,2,16,4,25.0,16.0,4.0,0.13,0.5,0,0,
Mexico,world_cup,Opponent Total,,28.2,1.0,0,3,2,66.7,3.0,2.0,0.0,0.0,0,0,
Morocco,world_cup,Neil El Aynaoui,MF,24-347,1.0,0,3,0,0.0,3.0,0.0,0.0,,0,0,Matches
Morocco,world_cup,Ayyoub Bouaddi,MF,18-255,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Morocco,world_cup,Yassine Bounou,GK,35-070,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Morocco,world_cup,Issa Diop,DF,29-156,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Morocco,world_cup,Achraf Hakimi,DF,27-222,1.0,0,3,0,0.0,3.0,0.0,0.0,,0,0,Matches
Morocco,world_cup,Chadi Riad,DF,22-362,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Morocco,world_cup,Ismael Saibari,FW,25-137,1.0,1,3,1,33.3,3.07,1.02,0.33,1.0,0,0,Matches
Morocco,world_cup,Bilal El Khannouss,MF,22-035,0.9,0,1,0,0.0,1.14,0.0,0.0,,0,0,Matches
Morocco,world_cup,Noussair Mazraoui,DF,28-212,0.9,0,0,0,,0.0,0.0,,,0,0,Matches
Morocco,world_cup,Brahim Díaz,MF,26-315,0.7,0,3,1,33.3,4.22,1.41,0.0,0.0,0,0,Matches
Morocco,world_cup,Azzedine Ounahi,MF,26-056,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
Morocco,world_cup,Samir El Mourabet,MF,20-251,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Morocco,world_cup,Chemsdine Talbi,MF,21-036,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Morocco,world_cup,Ayoube Amaimouni,MF,21-196,0.1,0,1,1,100.0,8.18,8.18,0.0,0.0,0,0,Matches
Morocco,world_cup,Anass Salah-Eddine,DF,24-147,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Morocco,world_cup,Soufiane Rahimi,FW,30-012,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
Morocco,world_cup,Squad Total,,25.8,1.0,1,14,3,21.4,14.0,3.0,0.07,0.33,0,0,
Morocco,world_cup,Opponent Total,,29.8,1.0,1,12,5,41.7,12.0,5.0,0.08,0.2,0,0,
Paraguay,world_cup,Omar Alderete,DF,29-170,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Paraguay,world_cup,Júnior Alonso,DF,33-125,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Paraguay,world_cup,Andrés Cubas,MF,30-023,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Paraguay,world_cup,Julio Enciso,FW,22-142,1.0,0,2,0,0.0,2.0,0.0,0.0,,0,0,Matches
Paraguay,world_cup,Orlando Gill,GK,26-003,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Paraguay,world_cup,Gustavo Gómez,DF,33-039,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Paraguay,world_cup,Diego Gómez,MF,23-079,0.9,0,4,0,0.0,4.56,0.0,0.0,,0,0,Matches
Paraguay,world_cup,Miguel Almirón,MF,32-124,0.9,0,2,0,0.0,2.31,0.0,0.0,,0,0,Matches
Paraguay,world_cup,Juan Cáceres,DF,26-013,0.9,0,0,0,,0.0,0.0,,,0,0,Matches
Paraguay,world_cup,Antonio Sanabria,FW,30-102,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
Paraguay,world_cup,Damián Bobadilla,MF,24-338,0.5,0,0,0,,0.0,0.0,,,0,0,Matches
Paraguay,world_cup,Mauricio,MF,25-023,0.5,1,1,1,100.0,2.0,2.0,1.0,1.0,0,0,Matches
Paraguay,world_cup,Álex Arce,FW,30-363,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Paraguay,world_cup,Ramón Sosa,"FW,MF",26-287,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Paraguay,world_cup,Gustavo Velásquez,DF,35-058,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Paraguay,world_cup,Kaku,MF,31-154,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Paraguay,world_cup,Squad Total,,28.4,1.0,1,9,1,11.1,9.0,1.0,0.11,1.0,0,0,
Paraguay,world_cup,Opponent Total,,27.2,1.0,3,16,6,37.5,16.0,6.0,0.19,0.5,0,0,
Qatar,world_cup,Mahmoud Abunada,GK,26-129,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Qatar,world_cup,Akram Afif,FW,29-208,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Qatar,world_cup,Homam Ahmed,DF,26-293,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,Matches
Qatar,world_cup,Boualem Khoukhi,DF,35-340,1.0,1,1,1,100.0,1.0,1.0,1.0,1.0,0,0,Matches
Qatar,world_cup,Issa Laye,MF,28-174,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,Matches
Qatar,world_cup,Ró-Ró,DF,35-312,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Qatar,world_cup,Edmilson Junior,FW,31-299,1.0,0,2,2,100.0,2.07,2.07,0.0,0.0,0,0,Matches
Qatar,world_cup,Assim Madibo,MF,29-235,0.9,0,0,0,,0.0,0.0,,,0,0,Matches
Qatar,world_cup,Yusuf Abdurisag,FW,26-312,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
Qatar,world_cup,Jassem Gaber,MF,24-114,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
Qatar,world_cup,Ayoub Al-Oui,DF,21-095,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
Qatar,world_cup,Ahmed Alaaeldin,FW,33-134,0.3,0,1,1,100.0,2.9,2.9,0.0,0.0,0,0,Matches
Qatar,world_cup,Karim Boudiaf,"DF,MF",35-271,0.3,0,1,0,0.0,2.9,0.0,0.0,,0,0,Matches
Qatar,world_cup,Ahmed Fathy,MF,33-140,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Qatar,world_cup,Mohamed Manai,DF,23-232,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Qatar,world_cup,Hassan Al-Haydos,"FW,MF",35-185,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
Qatar,world_cup,Squad Total,,29.7,1.0,1,7,4,57.1,7.0,4.0,0.14,0.25,0,0,
Qatar,world_cup,Opponent Total,,29.9,1.0,1,26,7,26.9,26.0,7.0,0.0,0.0,1,1,
Scotland,world_cup,Lewis Ferguson,MF,26-294,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Scotland,world_cup,Angus Gunn,GK,30-143,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Scotland,world_cup,Grant Hanley,DF,34-206,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Scotland,world_cup,Jack Hendry,DF,31-038,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Scotland,world_cup,Scott McTominay,MF,29-188,1.0,0,2,0,0.0,2.0,0.0,0.0,,0,0,Matches
Scotland,world_cup,Andy Robertson,DF,32-095,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Scotland,world_cup,John McGinn,MF,31-239,0.9,1,2,1,50.0,2.2,1.1,0.5,1.0,0,0,Matches
Scotland,world_cup,Lawrence Shankland,FW,30-308,0.9,0,2,0,0.0,2.2,0.0,0.0,,0,0,Matches
Scotland,world_cup,Ché Adams,FW,29-336,0.8,0,1,1,100.0,1.22,1.22,0.0,0.0,0,0,Matches
Scotland,world_cup,Ben Gannon-Doak,MF,20-215,0.8,0,2,0,0.0,2.43,0.0,0.0,,0,0,Matches
Scotland,world_cup,Aaron Hickey,DF,24-004,0.8,0,0,0,,0.0,0.0,,,0,0,Matches
Scotland,world_cup,Ryan Christie,"FW,MF",31-112,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
Scotland,world_cup,Lyndon Dykes,"FW,MF",30-250,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
Scotland,world_cup,Nathan Patterson,DF,24-241,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
Scotland,world_cup,Findlay Curtis,MF,19-256,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Scotland,world_cup,Kenny McLean,"DF,MF",34-157,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Scotland,world_cup,Squad Total,,29.4,1.0,1,9,2,22.2,9.0,2.0,0.11,0.5,0,0,
Scotland,world_cup,Opponent Total,,29.1,1.0,0,15,2,13.3,15.0,2.0,0.0,0.0,0,0,
South Africa,world_cup,Mbekezeli Mbokazi,DF,20-268,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,0,0,Matches
South Africa,world_cup,Teboho Mokoena,MF,29-141,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
South Africa,world_cup,Khuliso Mudau,DF,31-049,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
South Africa,world_cup,Ime Okon,DF,22-114,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
South Africa,world_cup,Nkosinathi Sibisi,DF,30-265,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
South Africa,world_cup,Ronwen Williams,GK,34-144,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
South Africa,world_cup,Aubrey Modiba,DF,30-327,0.8,0,1,1,100.0,1.18,1.18,0.0,0.0,0,0,Matches
South Africa,world_cup,Iqraam Rayners,FW,30-177,0.8,0,0,0,,0.0,0.0,,,0,0,Matches
South Africa,world_cup,Jayden Adams,MF,25-040,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
South Africa,world_cup,Lyle Foster,FW,25-284,0.6,0,1,0,0.0,1.64,0.0,0.0,,0,0,Matches
South Africa,world_cup,Sphephelo Sithole,MF,27-103,0.5,0,0,0,,0.0,0.0,,,0,0,Matches
South Africa,world_cup,Thalente Mbatha,MF,26-090,0.4,0,0,0,,0.0,0.0,,,0,0,Matches
South Africa,world_cup,Themba Zwane,"FW,MF",36-315,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
South Africa,world_cup,Evidence Makgopa,FW,26-009,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
South Africa,world_cup,Oswin Appollis,MF,24-293,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
South Africa,world_cup,Squad Total,,28.2,1.0,0,3,2,66.7,3.0,2.0,0.0,0.0,0,0,
