Country,Category,Player,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches,Playing Time_MP
Canada,world_cup,Opponent Total,,26.2,1.0,90.0,90.0,100.0,1.0,11,80.0,6,5,20.0,10,1.0,1.0,1.0,0.0,0.0,,,
Czechia,world_cup,Štěpán Chaloupek,DF,23-098,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,Matches,
Czechia,world_cup,Vladimír Coufal,MF,33-296,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,Matches,
Czechia,world_cup,Robin Hranáč,DF,26-136,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,Matches,
Czechia,world_cup,Matej Kovar,GK,26-028,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,Matches,
Czechia,world_cup,Ladislav Krejčí,DF,27-055,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,Matches,
Czechia,world_cup,Tomáš Souček,MF,31-107,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,Matches,
Czechia,world_cup,Jaroslav Zelený,MF,33-298,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,Matches,
Czechia,world_cup,Alexandr Sojka,MF,23-073,1.0,83.0,83.0,92.2,0.9,1,83.0,0,0,,0,0.0,1.0,2.0,-1.0,-1.08,-1.08,Matches,
Czechia,world_cup,Lukáš Provod,FW,29-234,1.0,63.0,63.0,70.0,0.7,1,63.0,0,0,,0,0.0,1.0,0.0,1.0,1.43,8.1,Matches,
Czechia,world_cup,Patrik Schick,FW,30-141,1.0,63.0,63.0,70.0,0.7,1,63.0,0,0,,0,0.0,1.0,0.0,1.0,1.43,8.1,Matches,
Czechia,world_cup,Pavel Šulc,FW,25-167,1.0,63.0,63.0,70.0,0.7,1,63.0,0,0,,0,0.0,1.0,0.0,1.0,1.43,8.1,Matches,
Czechia,world_cup,Tomáš Chorý,FW,31-139,1.0,27.0,27.0,30.0,0.3,0,,0,1,27.0,0,0.0,0.0,2.0,-2.0,-6.67,-8.1,Matches,
Czechia,world_cup,Adam Hložek,"FW,MF",23-324,1.0,27.0,27.0,30.0,0.3,0,,0,1,27.0,0,0.0,0.0,2.0,-2.0,-6.67,-8.1,Matches,
Czechia,world_cup,Michal Sadílek,"DF,FW",27-014,1.0,27.0,27.0,30.0,0.3,0,,0,1,27.0,0,0.0,0.0,2.0,-2.0,-6.67,-8.1,Matches,
Czechia,world_cup,Mojmír Chytil,FW,27-046,1.0,7.0,7.0,7.8,0.1,0,,0,1,7.0,0,0.0,0.0,0.0,0.0,0.0,1.08,Matches,
Czechia,world_cup,Lukáš Červ,MF,25-065,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
