Country,Category,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Last 5,Notes
Qatar,world_cup,8,gh Ghana,0,0,0,0,,,,0,,
Qatar,world_cup,9,ir IR Iran,0,0,0,0,,,,0,,
Qatar,world_cup,10,no Norway,0,0,0,0,,,,0,,
Qatar,world_cup,11,se Sweden,0,0,0,0,,,,0,,
Qatar,world_cup,12,uy Uruguay,0,0,0,0,,,,0,,
Qatar,world_cup,1,ch Switzerland,1,0,1,0,1.0,1.0,0.0,1,L D W D D,
Qatar,world_cup,2,ca Canada,1,0,1,0,1.0,1.0,0.0,1,D D W D D,
Qatar,world_cup,3,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,D W L D D,
Qatar,world_cup,4,ba Bosnia-Herzegovina,1,0,1,0,1.0,1.0,0.0,1,D D D D D,
Saudi Arabia,world_cup,1,sa Saudi Arabia,0,0,0,0,0.0,0.0,0.0,0,L L L W D,
Saudi Arabia,world_cup,2,es Spain,0,0,0,0,0.0,0.0,0.0,0,D W D D W,
Saudi Arabia,world_cup,3,uy Uruguay,0,0,0,0,0.0,0.0,0.0,0,W D L D D,
Saudi Arabia,world_cup,4,cv Cape Verde,0,0,0,0,0.0,0.0,0.0,0,W D W W W,
Scotland,world_cup,1,sct Scotland,1,1,0,0,1.0,0.0,1.0,3,L L W W W,
Scotland,world_cup,2,ma Morocco,1,0,1,0,1.0,1.0,0.0,1,D W W D D,
Scotland,world_cup,3,br Brazil,1,0,1,0,1.0,1.0,0.0,1,L W W W D,
Scotland,world_cup,4,ht Haiti,1,0,0,1,0.0,1.0,-1.0,0,L D W L L,
Senegal,world_cup,1,fr France,0,0,0,0,0.0,0.0,0.0,0,W W W L W,
Senegal,world_cup,2,iq Iraq,0,0,0,0,0.0,0.0,0.0,0,W W W D L,
Senegal,world_cup,3,no Norway,0,0,0,0,0.0,0.0,0.0,0,W L D W D,
Senegal,world_cup,4,sn Senegal,0,0,0,0,0.0,0.0,0.0,0,W W W L D,
South Africa,world_cup,1,mx Mexico,1,1,0,0,2.0,0.0,2.0,3,D W W W W,
South Africa,world_cup,2,kr Korea Republic,1,1,0,0,2.0,1.0,1.0,3,L L W W W,
South Africa,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,D D W W L,
South Africa,world_cup,4,za South Africa,1,0,0,1,0.0,2.0,-2.0,0,L D L D L,
Spain,world_cup,1,sa Saudi Arabia,0,0,0,0,0.0,0.0,0.0,0,L L L W D,
Spain,world_cup,2,es Spain,0,0,0,0,0.0,0.0,0.0,0,D W D D W,
Spain,world_cup,3,uy Uruguay,0,0,0,0,0.0,0.0,0.0,0,W D L D D,
Spain,world_cup,4,cv Cape Verde,0,0,0,0,0.0,0.0,0.0,0,W D W W W,
Sweden,world_cup,1,br Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Sweden,world_cup,2,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Sweden,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Sweden,world_cup,4,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Sweden,world_cup,5,at Austria,0,0,0,0,,,,0,,
Sweden,world_cup,6,cd Congo DR,0,0,0,0,,,,0,,
Sweden,world_cup,7,de Germany,0,0,0,0,,,,0,,
Sweden,world_cup,8,gh Ghana,0,0,0,0,,,,0,,
Sweden,world_cup,9,ir IR Iran,0,0,0,0,,,,0,,
Sweden,world_cup,10,no Norway,0,0,0,0,,,,0,,
Sweden,world_cup,11,se Sweden,0,0,0,0,,,,0,,
Sweden,world_cup,12,uy Uruguay,0,0,0,0,,,,0,,
Sweden,world_cup,1,jp Japan,0,0,0,0,0.0,0.0,0.0,0,W W W W W,
Sweden,world_cup,2,nl Netherlands,0,0,0,0,0.0,0.0,0.0,0,W W D L W,
Sweden,world_cup,3,se Sweden,0,0,0,0,0.0,0.0,0.0,0,D W W L D,
Sweden,world_cup,4,tn Tunisia,0,0,0,0,0.0,0.0,0.0,0,D W D L L,
Switzerland,world_cup,1,ch Switzerland,1,0,1,0,1.0,1.0,0.0,1,L D W D D,
Switzerland,world_cup,2,ca Canada,1,0,1,0,1.0,1.0,0.0,1,D D W D D,
Switzerland,world_cup,3,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,D W L D D,
Switzerland,world_cup,4,ba Bosnia-Herzegovina,1,0,1,0,1.0,1.0,0.0,1,D D D D D,
Tunisia,world_cup,1,jp Japan,0,0,0,0,0.0,0.0,0.0,0,W W W W W,
Tunisia,world_cup,2,nl Netherlands,0,0,0,0,0.0,0.0,0.0,0,W W D L W,
Tunisia,world_cup,3,se Sweden,0,0,0,0,0.0,0.0,0.0,0,D W W L D,
Tunisia,world_cup,4,tn Tunisia,0,0,0,0,0.0,0.0,0.0,0,D W D L L,
