Player,MarketValue_EUR
Keisuke Ōsako,€2.00m
Kaishū Sano,€40.00m
Ayumu Seko,€5.00m
Kento Shiogai,€8.00m
Yukinari Sugawara,€5.50m
Junnosuke Suzuki,€3.50m
Yuito Suzuki,€24.00m
Zion Suzuki,€20.00m
Ao Tanaka,€13.00m
Shogo Taniguchi,€750k
Takehiro Tomiyasu,€5.00m
Ayase Ueda,€17.00m
Tsuyoshi Watanabe,€10.00m
Husam Abu Dahab,€350k
Mohammad Abu Hasheesh,€400k
Mohannad Abu Taha,€550k
Mo Abualnadi,€350k
Yazeed Abulaila,€300k
Yazan Al-Arab,€1.00m
Rajaei Ayed,€325k
Ali Azaizeh,€325k
Anas Badawi,€200k
Nour Bani Attiah,Unknown
Mohammad Al-Dawud,€150k
Abdallah Al-Fakhouri,€250k
Odeh Al-Fakhouri,Unknown
Ihsan Haddad,Damon Wilson
Amer Jamous,€500k
Mahmoud Al-Mardi,€350k
Abdallah Nasib,€400k
Salim Obaid,€25k
Ali Olwan,€800k
Nizar Al Rashdan,Zıhsan Orta
Noor Al Rawabdeh,Unknown
Saed Al-Rosan,Unknown
Ibrahim Sabra,€500k
Ibrahim Sadeh,€500k
Sharara,-
Musa Al-Taamari,Unknown
Song Bum-keun,Unknown
Jens Castrop,€10.00m
Lee Dong-gyeong,Unknown
Lee Gi-hyuk,Unknown
Cho Gue-sung,Unknown
Lee Han-beom,Unknown
Hwang Hee-chan,Unknown
Son Heung-min,Unknown
Oh Hyeon-gyu,Unknown
Jo Hyeon-woo,Unknown
Yang Hyun-jun,Unknown
Hwang In-beom,Unknown
Lee Jae-sung,Unknown
Eom Ji-sung,Unknown
Kim Jin-gyu,Unknown
Park Jinseob,Unknown
Bae Jun-ho,Unknown
Lee Kang-in,Unknown
Kim Min-jae,Unknown
Kim Moon-hwan,Unknown
Kim Seung-gyu,Unknown
Paik Seung-ho,Unknown
Kim Tae-hyeon,Unknown
Lee Tae-seok,Unknown
Cho Wi-je,Unknown
Seol Young-woo,Unknown
Cho Yumin,Unknown
Carlos Acevedo,€2.80m
Roberto Alvarado,€7.50m
Edson Álvarez,€15.00m
Luis Chávez,€6.00m
Mateo Chávez,€4.00m
Álvaro Fidalgo,€6.00m
Jesús Gallardo,€2.80m
Santiago Giménez,€18.00m
Armando González,€15.00m
Brian Gutiérrez,€8.00m
César Huerta,€3.50m
Raúl Jiménez,€3.00m
Erik Lira,€12.00m
Guillermo Martínez Ayala,€1.50m
César Montes,€7.50m
Gilberto Mora,€10.00m
Guillermo Ochoa,€250k
Orbelín Pineda,€7.00m
Julián Quiñones,€14.00m
Raúl Rangel,€6.50m
Israel Reyes,€6.50m
Luis Romo,€3.00m
Jorge Sánchez,€2.00m
Obed Vargas,€10.00m
Johan Vásquez,€12.00m
Alexis Vega,€8.00m
Nayef Aguerd,€15.00m
Ayoube Amaimouni,€10.00m
Sofyan Amrabat,€10.00m
Neil El Aynaoui,€23.00m
Youssef Belammari,€1.20m
Ayyoub Bouaddi,€50.00m
Yassine Bounou,€3.00m
Brahim Díaz,€35.00m
Issa Diop,€8.00m
Abde Ezzalzouli,€40.00m
Achraf Hakimi,€80.00m
Redouane Halhal,€5.00m
Ayoub El Kaabi,€4.50m
Bilal El Khannouss,€35.00m
Noussair Mazraoui,€18.00m
Samir El Mourabet,€22.00m
Munir,€1.50m
Zakaria El Ouahdi,€17.00m
Azzedine Ounahi,€10.00m
Soufiane Rahimi,€6.00m
Ahmed Reda Tagnaouti,€1.00m
Chadi Riad,€15.00m
Ismael Saibari,€40.00m
Anass Salah-Eddine,€12.00m
Chemsdine Talbi,€25.00m
Gessime Yassine,€12.00m
Nathan Aké,€12.00m
Brian Brobbey,€30.00m
Denzel Dumfries,€25.00m
Mark Flekken,€6.00m
Cody Gakpo,€60.00m
Ryan Gravenberch,€80.00m
Jorrel Hato,€40.00m
Jan Paul van Hecke,€45.00m
Frenkie de Jong,€35.00m
Justin Kluivert,€25.00m
Teun Koopmeiners,€14.00m
Noa Lang,€22.00m
Donyell Malen,€45.00m
Memphis,€7.00m
Tijjani Reijnders,€50.00m
Robin Roefs,€28.00m
Marten de Roon,€3.20m
Crysencio Summerville,€35.00m
Guus Til,€15.00m
Jurriën Timber,€70.00m
Quinten Timber,€25.00m
Virgil van Dijk,€15.00m
Micky van de Ven,€50.00m
Bart Verbruggen,€40.00m
Wout Weghorst,€2.00m
Mats Wieffer,€25.00m
Kosta Barbarouses,€300k
Lachlan Bayliss,€550k
Joe Bell,€3.50m
Tyler Bindon,€3.50m
Michael Boxall,€150k
Liberato Cacace,€2.50m
Max Crocombe,€1.00m
Callan Elliot,€450k
Matt Garbett,€450k
Eli Just,Tana Schultheis
Callum McCowatt,€2.50m
Ben Old,€1.80m
Alex Paulsen,€500k
Tim Payne,€350k
Nando Pijnaker,€400k
Jesse Randall,€900k
Alex Rufer,€600k
Sarpreet Singh,€500k
Tommy Smith,-
Marko Stamenic,€3.00m
Finn Surman,€1.80m
Ryan Thomas,€650k
Francis de Vries,€600k
Ben Waine,€400k
Chris Wood,€5.00m
Michael Woud,€400k
Thelo Aasgaard,€2.80m
Kristoffer Ajer,€18.00m
Fredrik André Bjørkan,€3.50m
Fredrik Aursnes,€15.00m
Patrick Berg,€8.00m
Sander Berge,€25.00m
Oscar Bobb,€28.00m
Henrik Falchener,€6.00m
