Year,Stage,Country1,Country2,Score1,Score2,Venue,City
1930,group stage,France,Mexico,4,1,Estadio Pocitos,Montevideo
1930,group stage,United States,Belgium,3,0,Estadio Gran Parque Central,Montevideo
1930,group stage,Yugoslavia,Brazil,2,1,Estadio Gran Parque Central,Montevideo
1930,group stage,Romania,Peru,3,1,Estadio Pocitos,Montevideo
1930,group stage,Argentina,France,1,0,Estadio Gran Parque Central,Montevideo
1930,group stage,Chile,Mexico,3,0,Estadio Gran Parque Central,Montevideo
1930,group stage,Yugoslavia,Bolivia,4,0,Estadio Gran Parque Central,Montevideo
1930,group stage,United States,Paraguay,3,0,Estadio Gran Parque Central,Montevideo
1930,group stage,Uruguay,Peru,1,0,Estadio Centenario,Montevideo
1930,group stage,Chile,France,1,0,Estadio Centenario,Montevideo
1930,group stage,Argentina,Mexico,6,3,Estadio Centenario,Montevideo
1930,group stage,Brazil,Bolivia,4,0,Estadio Centenario,Montevideo
1930,group stage,Paraguay,Belgium,1,0,Estadio Centenario,Montevideo
1930,group stage,Uruguay,Romania,4,0,Estadio Centenario,Montevideo
1930,group stage,Argentina,Chile,3,1,Estadio Centenario,Montevideo
1930,semi-finals,Argentina,United States,6,1,Estadio Centenario,Montevideo
1930,semi-finals,Uruguay,Yugoslavia,6,1,Estadio Centenario,Montevideo
1930,final,Uruguay,Argentina,4,2,Estadio Centenario,Montevideo
1934,round of 16,Austria,France,3,2,Stadio Benito Mussolini,Turin
1934,round of 16,Czechoslovakia,Romania,2,1,Stadio Littorio,Trieste
1934,round of 16,Germany,Belgium,5,2,Stadio Giovanni Berta,Florence
1934,round of 16,Hungary,Egypt,4,2,Stadio Giorgio Ascarelli,Naples
1934,round of 16,Italy,United States,7,1,Stadio Nazionale PNF,Rome
1934,round of 16,Spain,Brazil,3,1,Stadio Luigi Ferraris,Genoa
1934,round of 16,Sweden,Argentina,3,2,Stadio Renato Dall'Ara,Bologna
1934,round of 16,Switzerland,Netherlands,3,2,San Siro,Milan
1934,quarter-finals,Austria,Hungary,2,1,Stadio Renato Dall'Ara,Bologna
1934,quarter-finals,Czechoslovakia,Switzerland,3,2,Stadio Benito Mussolini,Turin
1934,quarter-finals,Germany,Sweden,2,1,San Siro,Milan
1934,quarter-finals,Italy,Spain,1,1,Stadio Giovanni Berta,Florence
1934,quarter-finals,Italy,Spain,1,0,Stadio Giovanni Berta,Florence
1934,semi-finals,Czechoslovakia,Germany,3,1,Stadio Nazionale PNF,Rome
1934,semi-finals,Italy,Austria,1,0,San Siro,Milan
1934,third-place match,Germany,Austria,3,2,Stadio Giorgio Ascarelli,Naples
1934,final,Italy,Czechoslovakia,2,1,Stadio Nazionale PNF,Rome
1938,round of 16,Switzerland,Germany,1,1,Parc des Princes,Paris
1938,round of 16,Cuba,Romania,3,3,Stade du T.O.E.C.,Toulouse
1938,round of 16,France,Belgium,3,1,Stade Olympique de Colombes,Paris
1938,round of 16,Hungary,Dutch East Indies,6,0,Vélodrome Municipal,Reims
1938,round of 16,Italy,Norway,2,1,Stade Vélodrome,Marseille
1938,round of 16,Brazil,Poland,6,5,Stade de la Meinau,Strasbourg
1938,round of 16,Czechoslovakia,Netherlands,3,0,Stade Jules Deschaseaux,Le Havre
1938,round of 16,Cuba,Romania,2,1,Stade du T.O.E.C.,Toulouse
1938,round of 16,Switzerland,Germany,4,2,Parc des Princes,Paris
1938,quarter-finals,Brazil,Czechoslovakia,1,1,Stade du Parc Lescure,Bordeaux
1938,quarter-finals,Hungary,Switzerland,2,0,Stade Victor Boucquey,Lille
1938,quarter-finals,Italy,France,3,1,Stade Olympique de Colombes,Paris
1938,quarter-finals,Sweden,Cuba,8,0,Stade du Fort Carré,Antibes
1938,quarter-finals,Brazil,Czechoslovakia,2,1,Stade du Parc Lescure,Bordeaux
1938,semi-finals,Hungary,Sweden,5,1,Parc des Princes,Paris
1938,semi-finals,Italy,Brazil,2,1,Stade Vélodrome,Marseille
1938,third-place match,Brazil,Sweden,4,2,Stade du Parc Lescure,Bordeaux
1938,final,Italy,Hungary,4,2,Stade Olympique de Colombes,Paris
1950,group stage,Brazil,Mexico,4,0,Estádio do Maracanã,Rio de Janeiro
1950,group stage,Yugoslavia,Switzerland,3,0,Estádio Independência,Belo Horizonte
1950,group stage,England,Chile,2,0,Estádio do Maracanã,Rio de Janeiro
1950,group stage,Spain,United States,3,1,Estádio Vila Capanema,Curitiba
1950,group stage,Sweden,Italy,3,2,Estádio do Pacaembu,São Paulo
1950,group stage,Brazil,Switzerland,2,2,Estádio do Pacaembu,São Paulo
1950,group stage,Yugoslavia,Mexico,4,1,Estádio dos Eucaliptos,Porto Alegre
1950,group stage,Spain,Chile,2,0,Estádio do Maracanã,Rio de Janeiro
1950,group stage,United States,England,1,0,Estádio Independência,Belo Horizonte
1950,group stage,Sweden,Paraguay,2,2,Estádio Vila Capanema,Curitiba
1950,group stage,Brazil,Yugoslavia,2,0,Estádio do Maracanã,Rio de Janeiro
1950,group stage,Chile,United States,5,2,Estádio Ilha do Retiro,Recife
1950,group stage,Spain,England,1,0,Estádio do Maracanã,Rio de Janeiro
1950,group stage,Italy,Paraguay,2,0,Estádio do Pacaembu,São Paulo
1950,group stage,Uruguay,Bolivia,8,0,Estádio Independência,Belo Horizonte
1950,group stage,Switzerland,Mexico,2,1,Estádio dos Eucaliptos,Porto Alegre
1950,final round,Brazil,Sweden,7,1,Estádio do Maracanã,Rio de Janeiro
1950,final round,Uruguay,Spain,2,2,Estádio do Pacaembu,São Paulo
1950,final round,Brazil,Spain,6,1,Estádio do Maracanã,Rio de Janeiro
1950,final round,Uruguay,Sweden,3,2,Estádio do Pacaembu,São Paulo
1950,final round,Sweden,Spain,3,1,Estádio do Pacaembu,São Paulo
1950,final round,Uruguay,Brazil,2,1,Estádio do Maracanã,Rio de Janeiro
1954,group stage,Brazil,Mexico,5,0,Charmilles Stadium,Geneva
1954,group stage,Yugoslavia,France,1,0,Stade Olympique de la Pontaise,Lausanne
1954,group stage,Austria,Scotland,1,0,Hardturm Stadium,Zürich
1954,group stage,Uruguay,Czechoslovakia,2,0,Wankdorf Stadium,Bern
1954,group stage,Switzerland,Italy,2,1,Stade Olympique de la Pontaise,Lausanne
1954,group stage,Hungary,South Korea,9,0,Hardturm Stadium,Zürich
1954,group stage,West Germany,Turkey,4,1,Wankdorf Stadium,Bern
1954,group stage,England,Belgium,4,4,St. Jakob Stadium,Basel
1954,group stage,Uruguay,Scotland,7,0,St. Jakob Stadium,Basel
1954,group stage,Brazil,Yugoslavia,1,1,Stade Olympique de la Pontaise,Lausanne
1954,group stage,Austria,Czechoslovakia,5,0,Hardturm Stadium,Zürich
1954,group stage,France,Mexico,3,2,Charmilles Stadium,Geneva
1954,group stage,Hungary,West Germany,8,3,St. Jakob Stadium,Basel
1954,group stage,Turkey,South Korea,7,0,Charmilles Stadium,Geneva
1954,group stage,Italy,Belgium,4,1,Cornaredo Stadium,Lugano
1954,group stage,England,Switzerland,2,0,Wankdorf Stadium,Bern
1954,group stage,West Germany,Turkey,7,2,Hardturm Stadium,Zürich
1954,group stage,Switzerland,Italy,4,1,St. Jakob Stadium,Basel
1954,quarter-finals,Austria,Switzerland,7,5,Stade Olympique de la Pontaise,Lausanne
1954,quarter-finals,Uruguay,England,4,2,St. Jakob Stadium,Basel
1954,quarter-finals,Hungary,Brazil,4,2,Wankdorf Stadium,Bern
1954,quarter-finals,West Germany,Yugoslavia,2,0,Charmilles Stadium,Geneva
1954,semi-finals,Hungary,Uruguay,4,2,Stade Olympique de la Pontaise,Lausanne
1954,semi-finals,West Germany,Austria,6,1,St. Jakob Stadium,Basel
1954,third-place match,Austria,Uruguay,3,1,Hardturm Stadium,Zürich
1954,final,West Germany,Hungary,3,2,Wankdorf Stadium,Bern
1958,group stage,Sweden,Mexico,3,0,Råsunda Stadium,Solna
1958,group stage,Argentina,West Germany,1,3,Malmö Stadion,Malmö
1958,group stage,Northern Ireland,Czechoslovakia,1,0,Örjans Vall,Halmstad
1958,group stage,France,Paraguay,7,3,Idrottsparken,Norrköping
1958,group stage,Yugoslavia,Scotland,1,1,Arosvallen,Västerås
1958,group stage,Hungary,Wales,1,1,Jernvallen,Sandviken
1958,group stage,Brazil,Austria,3,0,Rimnersvallen,Uddevalla
1958,group stage,Soviet Union,England,2,2,Ullevi,Gothenburg
1958,group stage,Argentina,Northern Ireland,3,1,Örjans Vall,Halmstad
1958,group stage,West Germany,Czechoslovakia,2,2,Olympia,Helsingborg
1958,group stage,Paraguay,Scotland,3,2,Idrottsparken,Norrköping
1958,group stage,Yugoslavia,France,3,2,Arosvallen,Västerås
1958,group stage,Mexico,Wales,1,1,Råsunda Stadium,Solna
1958,group stage,Brazil,England,0,0,Ullevi,Gothenburg
1958,group stage,Soviet Union,Austria,2,0,Ryavallen,Borås
1958,group stage,Sweden,Hungary,2,1,Råsunda Stadium,Solna
1958,group stage,Sweden,Wales,0,0,Råsunda Stadium,Solna
1958,group stage,Czechoslovakia,Argentina,6,1,Olympia,Helsingborg
1958,group stage,West Germany,Northern Ireland,2,2,Malmö Stadion,Malmö
1958,group stage,France,Scotland,2,1,Eyravallen,Örebro
1958,group stage,Paraguay,Yugoslavia,3,3,Tunavallen,Eskilstuna
1958,group stage,Hungary,Mexico,4,0,Jernvallen,Sandviken
1958,group stage,Brazil,Soviet Union,2,0,Ullevi,Gothenburg
1958,group stage,England,Austria,2,2,Ryavallen,Borås
1958,group stage,Northern Ireland,Czechoslovakia,2,1,Malmö Stadion,Malmö
1958,group stage,Wales,Hungary,2,1,Råsunda Stadium,Solna
1958,group stage,Soviet Union,England,1,0,Ullevi,Gothenburg
1958,quarter-finals,Brazil,Wales,1,0,Ullevi,Gothenburg
1958,quarter-finals,France,Northern Ireland,4,0,Idrottsparken,Norrköping
1958,quarter-finals,Sweden,Soviet Union,2,0,Råsunda Stadium,Solna
1958,quarter-finals,West Germany,Yugoslavia,1,0,Malmö Stadion,Malmö
1958,semi-finals,Brazil,France,5,2,Råsunda Stadium,Solna
1958,semi-finals,Sweden,West Germany,3,1,Ullevi,Gothenburg
1958,third-place match,France,West Germany,6,3,Ullevi,Gothenburg
1958,final,Brazil,Sweden,5,2,Råsunda Stadium,Solna
1962,group stage,Uruguay,Colombia,2,1,Estadio Carlos Dittborn,Arica
1962,group stage,Chile,Switzerland,3,1,Estadio Nacional,Santiago
1962,group stage,Brazil,Mexico,2,0,Estadio Sausalito,Viña del Mar
1962,group stage,Argentina,Bulgaria,1,0,Estadio El Teniente,Rancagua
1962,group stage,Soviet Union,Yugoslavia,2,0,Estadio Carlos Dittborn,Arica
1962,group stage,West Germany,Italy,0,0,Estadio Nacional,Santiago
1962,group stage,Czechoslovakia,Spain,1,0,Estadio Sausalito,Viña del Mar
1962,group stage,Hungary,England,2,1,Estadio El Teniente,Rancagua
1962,group stage,Yugoslavia,Uruguay,3,1,Estadio Carlos Dittborn,Arica
1962,group stage,Chile,Italy,2,0,Estadio Nacional,Santiago
1962,group stage,Brazil,Czechoslovakia,0,0,Estadio Sausalito,Viña del Mar
1962,group stage,England,Argentina,3,1,Estadio El Teniente,Rancagua
1962,group stage,Soviet Union,Colombia,4,4,Estadio Carlos Dittborn,Arica
1962,group stage,West Germany,Switzerland,2,1,Estadio Nacional,Santiago
1962,group stage,Spain,Mexico,1,0,Estadio Sausalito,Viña del Mar
1962,group stage,Hungary,Bulgaria,6,1,Estadio El Teniente,Rancagua
1962,group stage,Soviet Union,Uruguay,2,1,Estadio Carlos Dittborn,Arica
1962,group stage,West Germany,Chile,2,0,Estadio Nacional,Santiago
1962,group stage,Brazil,Spain,2,1,Estadio Sausalito,Viña del Mar
1962,group stage,Hungary,Argentina,0,0,Estadio El Teniente,Rancagua
1962,group stage,Yugoslavia,Colombia,5,0,Estadio Carlos Dittborn,Arica
1962,group stage,Italy,Switzerland,3,0,Estadio Nacional,Santiago
1962,group stage,Mexico,Czechoslovakia,3,1,Estadio Sausalito,Viña del Mar
1962,group stage,England,Bulgaria,0,0,Estadio El Teniente,Rancagua
1962,quarter-finals,Brazil,England,3,1,Estadio Sausalito,Viña del Mar
1962,quarter-finals,Chile,Soviet Union,2,1,Estadio Carlos Dittborn,Arica
1962,quarter-finals,Czechoslovakia,Hungary,1,0,Estadio El Teniente,Rancagua
1962,quarter-finals,Yugoslavia,West Germany,1,0,Estadio Nacional,Santiago
1962,semi-finals,Brazil,Chile,4,2,Estadio Nacional,Santiago
1962,semi-finals,Czechoslovakia,Yugoslavia,3,1,Estadio Sausalito,Viña del Mar
1962,third-place match,Chile,Yugoslavia,1,0,Estadio Nacional,Santiago
1962,final,Brazil,Czechoslovakia,3,1,Estadio Nacional,Santiago
1966,group stage,England,Uruguay,0,0,Wembley Stadium,London
1966,group stage,West Germany,Switzerland,5,0,Hillsborough Stadium,Sheffield
1966,group stage,Brazil,Bulgaria,2,0,Goodison Park,Liverpool
1966,group stage,Soviet Union,North Korea,3,0,Ayresome Park,Middlesbrough
1966,group stage,France,Mexico,1,1,Wembley Stadium,London
1966,group stage,Argentina,Spain,2,1,Villa Park,Birmingham
1966,group stage,Portugal,Hungary,3,1,Old Trafford,Manchester
1966,group stage,Italy,Chile,2,0,Roker Park,Sunderland
1966,group stage,Uruguay,France,2,1,White City Stadium,London
1966,group stage,Spain,Switzerland,2,1,Hillsborough Stadium,Sheffield
1966,group stage,Hungary,Brazil,3,1,Goodison Park,Liverpool
1966,group stage,Chile,North Korea,1,1,Ayresome Park,Middlesbrough
1966,group stage,Argentina,West Germany,0,0,Villa Park,Birmingham
1966,group stage,Portugal,Bulgaria,3,0,Old Trafford,Manchester
1966,group stage,Soviet Union,Italy,1,0,Roker Park,Sunderland
1966,group stage,England,Mexico,2,0,Wembley Stadium,London
1966,group stage,Mexico,Uruguay,0,0,Wembley Stadium,London
1966,group stage,Argentina,Switzerland,2,0,Hillsborough Stadium,Sheffield
1966,group stage,Portugal,Brazil,3,1,Goodison Park,Liverpool
1966,group stage,North Korea,Italy,1,0,Ayresome Park,Middlesbrough
1966,group stage,England,France,2,0,Wembley Stadium,London
1966,group stage,West Germany,Spain,2,1,Villa Park,Birmingham
1966,group stage,Hungary,Bulgaria,3,1,Old Trafford,Manchester
1966,group stage,Soviet Union,Chile,2,1,Roker Park,Sunderland
1966,quarter-finals,England,Argentina,1,0,Wembley Stadium,London
1966,quarter-finals,Portugal,North Korea,5,3,Goodison Park,Liverpool
1966,quarter-finals,Soviet Union,Hungary,2,1,Roker Park,Sunderland
1966,quarter-finals,West Germany,Uruguay,4,0,Hillsborough Stadium,Sheffield
1966,semi-finals,West Germany,Soviet Union,2,1,Goodison Park,Liverpool
1966,semi-finals,England,Portugal,2,1,Wembley Stadium,London
1966,third-place match,Portugal,Soviet Union,2,1,Wembley Stadium,London
1966,final,England,West Germany,4,2,Wembley Stadium,London
1970,group stage,Mexico,Soviet Union,0,0,Estadio Azteca,Mexico City
1970,group stage,Uruguay,Israel,2,0,Estadio Cuauhtémoc,Puebla
1970,group stage,England,Romania,1,0,Estadio Jalisco,Guadalajara
1970,group stage,Peru,Bulgaria,3,2,Estadio Nou Camp,León
1970,group stage,Belgium,El Salvador,3,0,Estadio Azteca,Mexico City
1970,group stage,Italy,Sweden,1,0,La Bombonera,Toluca
1970,group stage,Brazil,Czechoslovakia,4,1,Estadio Jalisco,Guadalajara
1970,group stage,West Germany,Morocco,2,1,Estadio Nou Camp,León
1970,group stage,Soviet Union,Belgium,4,1,Estadio Azteca,Mexico City
1970,group stage,Uruguay,Italy,0,0,Estadio Cuauhtémoc,Puebla
1970,group stage,Romania,Czechoslovakia,2,1,Estadio Jalisco,Guadalajara
1970,group stage,Peru,Morocco,3,0,Estadio Nou Camp,León
1970,group stage,Mexico,El Salvador,4,0,Estadio Azteca,Mexico City
1970,group stage,Sweden,Israel,1,1,La Bombonera,Toluca
1970,group stage,Brazil,England,1,0,Estadio Jalisco,Guadalajara
1970,group stage,West Germany,Bulgaria,5,2,Estadio Nou Camp,León
1970,group stage,Soviet Union,El Salvador,2,0,Estadio Azteca,Mexico City
1970,group stage,Sweden,Uruguay,1,0,Estadio Cuauhtémoc,Puebla
1970,group stage,Brazil,Romania,3,2,Estadio Jalisco,Guadalajara
1970,group stage,West Germany,Peru,3,1,Estadio Nou Camp,León
1970,group stage,Mexico,Belgium,1,0,Estadio Azteca,Mexico City
1970,group stage,Italy,Israel,0,0,La Bombonera,Toluca
1970,group stage,England,Czechoslovakia,1,0,Estadio Jalisco,Guadalajara
1970,group stage,Bulgaria,Morocco,1,1,Estadio Nou Camp,León
1970,quarter-finals,Brazil,Peru,4,2,Estadio Jalisco,Guadalajara
1970,quarter-finals,Italy,Mexico,4,1,La Bombonera,Toluca
1970,quarter-finals,Soviet Union,Uruguay,0,1,Estadio Azteca,Mexico City
1970,quarter-finals,West Germany,England,3,2,Estadio Nou Camp,León
1970,semi-finals,Brazil,Uruguay,3,1,Estadio Jalisco,Guadalajara
1970,semi-finals,Italy,West Germany,4,3,Estadio Azteca,Mexico City
1970,third-place match,West Germany,Uruguay,1,0,Estadio Azteca,Mexico City
1970,final,Brazil,Italy,4,1,Estadio Azteca,Mexico City
1974,group stage,Brazil,Yugoslavia,0,0,Waldstadion,Frankfurt
1974,group stage,West Germany,Chile,1,0,Olympiastadion,Berlin
1974,group stage,East Germany,Australia,2,0,Volksparkstadion,Hamburg
1974,group stage,Zaire,Scotland,0,2,Westfalenstadion,Dortmund
1974,group stage,Sweden,Bulgaria,0,0,Rheinstadion,Düsseldorf
1974,group stage,Uruguay,Netherlands,0,2,Niedersachsenstadion,Hanover
1974,group stage,Italy,Haiti,3,1,Olympiastadion,Munich
1974,group stage,Poland,Argentina,3,2,Neckarstadion,Stuttgart
1974,group stage,Australia,West Germany,0,3,Volksparkstadion,Hamburg
1974,group stage,Chile,East Germany,1,1,Olympiastadion,Berlin
1974,group stage,Scotland,Brazil,0,0,Waldstadion,Frankfurt
1974,group stage,Yugoslavia,Zaire,9,0,Parkstadion,Gelsenkirchen
1974,group stage,Bulgaria,Uruguay,1,1,Niedersachsenstadion,Hanover
1974,group stage,Netherlands,Sweden,0,0,Westfalenstadion,Dortmund
1974,group stage,Argentina,Italy,1,1,Neckarstadion,Stuttgart
1974,group stage,Haiti,Poland,0,7,Olympiastadion,Munich
1974,group stage,Australia,Chile,0,0,Olympiastadion,Berlin
1974,group stage,Scotland,Yugoslavia,1,1,Waldstadion,Frankfurt
1974,group stage,Zaire,Brazil,0,3,Parkstadion,Gelsenkirchen
1974,group stage,East Germany,West Germany,1,0,Volksparkstadion,Hamburg
1974,group stage,Bulgaria,Netherlands,1,4,Westfalenstadion,Dortmund
1974,group stage,Sweden,Uruguay,3,0,Rheinstadion,Düsseldorf
1974,group stage,Argentina,Haiti,4,1,Olympiastadion,Munich
1974,group stage,Poland,Italy,2,1,Neckarstadion,Stuttgart
1974,second group stage,Yugoslavia,West Germany,0,2,Rheinstadion,Düsseldorf
1974,second group stage,Brazil,East Germany,1,0,Niedersachsenstadion,Hanover
1974,second group stage,Netherlands,Argentina,4,0,Parkstadion,Gelsenkirchen
1974,second group stage,Sweden,Poland,0,1,Neckarstadion,Stuttgart
1974,second group stage,Argentina,Brazil,1,2,Niedersachsenstadion,Hanover
1974,second group stage,East Germany,Netherlands,0,2,Parkstadion,Gelsenkirchen
1974,second group stage,Poland,Yugoslavia,2,1,Waldstadion,Frankfurt
1974,second group stage,West Germany,Sweden,4,2,Rheinstadion,Düsseldorf
1974,second group stage,Poland,West Germany,0,1,Waldstadion,Frankfurt
1974,second group stage,Argentina,East Germany,1,1,Parkstadion,Gelsenkirchen
1974,second group stage,Netherlands,Brazil,2,0,Westfalenstadion,Dortmund
1974,second group stage,Sweden,Yugoslavia,2,1,Rheinstadion,Düsseldorf
1974,third-place match,Brazil,Poland,0,1,Olympiastadion,Munich
1974,final,Netherlands,West Germany,1,2,Olympiastadion,Munich
1978,group stage,West Germany,Poland,0,0,Estadio Monumental,Buenos Aires
1978,group stage,Italy,France,2,1,Estadio José María Minella,Mar del Plata
1978,group stage,Tunisia,Mexico,3,1,Estadio Gigante de Arroyito,Rosario
1978,group stage,Argentina,Hungary,2,1,Estadio Monumental,Buenos Aires
1978,group stage,Austria,Spain,2,1,Estadio José Amalfitani,Buenos Aires
1978,group stage,Brazil,Sweden,1,1,Estadio José María Minella,Mar del Plata
1978,group stage,Netherlands,Iran,3,0,Estadio Ciudad de Mendoza,Mendoza
1978,group stage,Peru,Scotland,3,1,Estadio Chateau Carreras,Córdoba
1978,group stage,Italy,Hungary,3,1,Estadio José María Minella,Mar del Plata
1978,group stage,Poland,Tunisia,1,0,Estadio Gigante de Arroyito,Rosario
1978,group stage,West Germany,Mexico,6,0,Estadio Chateau Carreras,Córdoba
1978,group stage,Argentina,France,2,1,Estadio Monumental,Buenos Aires
1978,group stage,Austria,Sweden,1,0,Estadio José Amalfitani,Buenos Aires
1978,group stage,Brazil,Spain,0,0,Estadio José María Minella,Mar del Plata
1978,group stage,Netherlands,Peru,0,0,Estadio Ciudad de Mendoza,Mendoza
1978,group stage,Scotland,Iran,1,1,Estadio Chateau Carreras,Córdoba
1978,group stage,France,Hungary,3,1,Estadio José María Minella,Mar del Plata
1978,group stage,Poland,Mexico,3,1,Estadio Gigante de Arroyito,Rosario
1978,group stage,West Germany,Tunisia,0,0,Estadio Chateau Carreras,Córdoba
1978,group stage,Argentina,Italy,0,1,Estadio Monumental,Buenos Aires
1978,group stage,Brazil,Austria,1,0,Estadio José María Minella,Mar del Plata
1978,group stage,Spain,Sweden,1,0,Estadio José Amalfitani,Buenos Aires
1978,group stage,Peru,Iran,4,1,Estadio Chateau Carreras,Córdoba
1978,group stage,Scotland,Netherlands,3,2,Estadio Ciudad de Mendoza,Mendoza
1978,second group stage,Austria,Netherlands,1,5,Estadio Chateau Carreras,Córdoba
1978,second group stage,Italy,West Germany,0,0,Estadio Monumental,Buenos Aires
1978,second group stage,Brazil,Peru,3,0,Estadio Ciudad de Mendoza,Mendoza
1978,second group stage,Argentina,Poland,2,0,Estadio Gigante de Arroyito,Rosario
1978,second group stage,Peru,Poland,0,1,Estadio Ciudad de Mendoza,Mendoza
1978,second group stage,Italy,Austria,1,0,Estadio Monumental,Buenos Aires
1978,second group stage,Netherlands,West Germany,2,2,Estadio Chateau Carreras,Córdoba
1978,second group stage,Argentina,Brazil,0,0,Estadio Gigante de Arroyito,Rosario
1978,second group stage,Austria,West Germany,3,2,Estadio Chateau Carreras,Córdoba
1978,second group stage,Italy,Netherlands,1,2,Estadio Monumental,Buenos Aires
1978,second group stage,Brazil,Poland,3,1,Estadio Ciudad de Mendoza,Mendoza
1978,second group stage,Argentina,Peru,6,0,Estadio Gigante de Arroyito,Rosario
1978,third-place match,Brazil,Italy,2,1,Estadio Monumental,Buenos Aires
1978,final,Argentina,Netherlands,3,1,Estadio Monumental,Buenos Aires
1982,group stage,Argentina,Belgium,0,1,Camp Nou,Barcelona
1982,group stage,Italy,Poland,0,0,Balaídos,Vigo
1982,group stage,Brazil,Soviet Union,2,1,Estadio Ramón Sánchez Pizjuán,Seville
1982,group stage,Peru,Cameroon,0,0,Estadio Riazor,A Coruña
1982,group stage,Hungary,El Salvador,10,1,Nuevo Estadio,Elche
1982,group stage,Scotland,New Zealand,5,2,Estadio La Rosaleda,Málaga
1982,group stage,West Germany,Algeria,1,2,Estadio El Molinón,Gijón
1982,group stage,England,France,3,1,Estadio San Mamés,Bilbao
1982,group stage,Spain,Honduras,1,1,Estadio Luis Casanova,Valencia
1982,group stage,Chile,Austria,0,1,Estadio Carlos Tartiere,Oviedo
1982,group stage,Czechoslovakia,Kuwait,1,1,Estadio José Zorrilla,Valladolid
1982,group stage,Yugoslavia,Northern Ireland,0,0,Estadio La Romareda,Zaragoza
1982,group stage,Italy,Peru,1,1,Balaídos,Vigo
1982,group stage,Argentina,Hungary,4,1,Estadio José Rico Pérez,Alicante
1982,group stage,Brazil,Scotland,4,1,Estadio Benito Villamarín,Seville
1982,group stage,Poland,Cameroon,0,0,Estadio Riazor,A Coruña
1982,group stage,Belgium,El Salvador,1,0,Nuevo Estadio,Elche
1982,group stage,Soviet Union,New Zealand,3,0,Estadio La Rosaleda,Málaga
1982,group stage,West Germany,Chile,4,1,Estadio El Molinón,Gijón
1982,group stage,England,Czechoslovakia,2,0,Estadio San Mamés,Bilbao
1982,group stage,Spain,Yugoslavia,2,1,Estadio Luis Casanova,Valencia
1982,group stage,Algeria,Austria,0,2,Estadio Carlos Tartiere,Oviedo
1982,group stage,France,Kuwait,4,1,Estadio José Zorrilla,Valladolid
1982,group stage,Honduras,Northern Ireland,1,1,Estadio La Romareda,Zaragoza
1982,group stage,Poland,Peru,5,1,Estadio Riazor,A Coruña
1982,group stage,Belgium,Hungary,1,1,Nuevo Estadio,Elche
1982,group stage,Soviet Union,Scotland,2,2,Estadio La Rosaleda,Málaga
1982,group stage,Italy,Cameroon,1,1,Balaídos,Vigo
1982,group stage,Argentina,El Salvador,2,0,Estadio José Rico Pérez,Alicante
1982,group stage,Brazil,New Zealand,4,0,Estadio Benito Villamarín,Seville
1982,group stage,Algeria,Chile,3,2,Estadio Carlos Tartiere,Oviedo
1982,group stage,France,Czechoslovakia,1,1,Estadio José Zorrilla,Valladolid
1982,group stage,Honduras,Yugoslavia,0,1,Estadio La Romareda,Zaragoza
1982,group stage,West Germany,Austria,1,0,Estadio El Molinón,Gijón
1982,group stage,England,Kuwait,1,0,Estadio San Mamés,Bilbao
1982,group stage,Spain,Northern Ireland,0,1,Estadio Luis Casanova,Valencia
1982,second group stage,Austria,France,0,1,Vicente Calderón,Madrid
1982,second group stage,Poland,Belgium,3,0,Camp Nou,Barcelona
1982,second group stage,Italy,Argentina,2,1,Estadi de Sarrià,Barcelona
1982,second group stage,West Germany,England,0,0,Estadio Santiago Bernabéu,Madrid
1982,second group stage,Austria,Northern Ireland,2,2,Vicente Calderón,Madrid
1982,second group stage,Belgium,Soviet Union,0,1,Camp Nou,Barcelona
1982,second group stage,Argentina,Brazil,1,3,Estadi de Sarrià,Barcelona
1982,second group stage,West Germany,Spain,2,1,Estadio Santiago Bernabéu,Madrid
1982,second group stage,France,Northern Ireland,4,1,Vicente Calderón,Madrid
1982,second group stage,Soviet Union,Poland,0,0,Camp Nou,Barcelona
1982,second group stage,Italy,Brazil,3,2,Estadi de Sarrià,Barcelona
1982,second group stage,Spain,England,0,0,Estadio Santiago Bernabéu,Madrid
1982,semi-finals,Poland,Italy,0,2,Camp Nou,Barcelona
1982,semi-finals,West Germany,France,3,3,Estadio Ramón Sánchez Pizjuán,Seville
1982,third-place match,Poland,France,3,2,Estadio José Rico Pérez,Alicante
1982,final,Italy,West Germany,3,1,Estadio Santiago Bernabéu,Madrid
1986,group stage,Bulgaria,Italy,1,1,Estadio Azteca,Mexico City
1986,group stage,Spain,Brazil,0,1,Estadio Jalisco,Guadalajara
1986,group stage,Canada,France,0,1,Estadio Nou Camp,León
1986,group stage,Argentina,South Korea,3,1,Estadio Olímpico Universitario,Mexico City
1986,group stage,Soviet Union,Hungary,6,0,Estadio Sergio León Chavez,Irapuato
1986,group stage,Morocco,Poland,0,0,Estadio Universitario,Monterrey
1986,group stage,Belgium,Mexico,1,2,Estadio Azteca,Mexico City
1986,group stage,Algeria,Northern Ireland,1,1,Estadio Tres de Marzo,Guadalajara
1986,group stage,Portugal,England,1,0,Estadio Tecnológico,Monterrey
1986,group stage,Paraguay,Iraq,1,0,La Bombonera,Toluca
1986,group stage,Uruguay,West Germany,1,1,Estadio La Corregidora,Querétaro
1986,group stage,Scotland,Denmark,0,1,Estadio Neza 86,Nezahualcóyotl
