Year,Stage,Country1,Country2,Score1,Score2,Venue,City
2015,group stage,Ecuador,Japan,0,1,Investors Group Field,Winnipeg
2015,group stage,Nigeria,United States,0,1,BC Place,Vancouver
2015,group stage,Australia,Sweden,1,1,Commonwealth Stadium,Edmonton
2015,group stage,England,Colombia,2,1,Olympic Stadium,Montreal
2015,group stage,Mexico,France,0,5,TD Place Stadium,Ottawa
2015,group stage,South Korea,Spain,2,1,TD Place Stadium,Ottawa
2015,group stage,Costa Rica,Brazil,0,1,Moncton Stadium,Moncton
2015,round of 16,Germany,Sweden,4,1,TD Place Stadium,Ottawa
2015,round of 16,China,Cameroon,1,0,Commonwealth Stadium,Edmonton
2015,round of 16,Brazil,Australia,0,1,Moncton Stadium,Moncton
2015,round of 16,France,South Korea,3,0,Olympic Stadium,Montreal
2015,round of 16,Canada,Switzerland,1,0,BC Place,Vancouver
2015,round of 16,Norway,England,1,2,TD Place Stadium,Ottawa
2015,round of 16,United States,Colombia,2,0,Commonwealth Stadium,Edmonton
2015,round of 16,Japan,Netherlands,2,1,BC Place,Vancouver
2015,quarter-final,Germany,France,1,1,Olympic Stadium,Montreal
2015,quarter-final,China,United States,0,1,TD Place Stadium,Ottawa
2015,quarter-final,Australia,Japan,0,1,Commonwealth Stadium,Edmonton
2015,quarter-final,England,Canada,2,1,BC Place,Vancouver
2015,semi-final,United States,Germany,2,0,Olympic Stadium,Montreal
2015,semi-final,Japan,England,2,1,Commonwealth Stadium,Edmonton
2015,third-place match,Germany,England,0,1,Commonwealth Stadium,Edmonton
2015,final,United States,Japan,5,2,BC Place,Vancouver
2018,group stage,Russia,Saudi Arabia,5,0,Luzhniki Stadium,Moscow
2018,group stage,Egypt,Uruguay,0,1,Central Stadium,Yekaterinburg
2018,group stage,Morocco,Iran,0,1,Krestovsky Stadium,Saint Petersburg
2018,group stage,Portugal,Spain,3,3,Fisht Olympic Stadium,Sochi
2018,group stage,France,Australia,2,1,Kazan Arena,Kazan
2018,group stage,Argentina,Iceland,1,1,Otkritie Arena,Moscow
2018,group stage,Peru,Denmark,0,1,Mordovia Arena,Saransk
2018,group stage,Croatia,Nigeria,2,0,Kaliningrad Stadium,Kaliningrad
2018,group stage,Costa Rica,Serbia,0,1,Samara Arena,Samara
2018,group stage,Germany,Mexico,0,1,Luzhniki Stadium,Moscow
2018,group stage,Brazil,Switzerland,1,1,Rostov Arena,Rostov-on-Don
2018,group stage,Sweden,South Korea,1,0,Nizhny Novgorod Stadium,Nizhny Novgorod
2018,group stage,Belgium,Panama,3,0,Fisht Olympic Stadium,Sochi
2018,group stage,Tunisia,England,1,2,Volgograd Arena,Volgograd
2018,group stage,Colombia,Japan,1,2,Mordovia Arena,Saransk
2018,group stage,Poland,Senegal,1,2,Otkritie Arena,Moscow
2018,group stage,Russia,Egypt,3,1,Krestovsky Stadium,Saint Petersburg
2018,group stage,Portugal,Morocco,1,0,Luzhniki Stadium,Moscow
2018,group stage,Uruguay,Saudi Arabia,1,0,Rostov Arena,Rostov-on-Don
2018,group stage,Iran,Spain,0,1,Kazan Arena,Kazan
2018,group stage,Denmark,Australia,1,1,Samara Arena,Samara
2018,group stage,France,Peru,1,0,Central Stadium,Yekaterinburg
2018,group stage,Argentina,Croatia,0,3,Nizhny Novgorod Stadium,Nizhny Novgorod
2018,group stage,Brazil,Costa Rica,2,0,Krestovsky Stadium,Saint Petersburg
2018,group stage,Nigeria,Iceland,2,0,Volgograd Arena,Volgograd
2018,group stage,Serbia,Switzerland,1,2,Kaliningrad Stadium,Kaliningrad
2018,group stage,Belgium,Tunisia,5,2,Otkritie Arena,Moscow
2018,group stage,South Korea,Mexico,1,2,Rostov Arena,Rostov-on-Don
2018,group stage,Germany,Sweden,2,1,Fisht Olympic Stadium,Sochi
2018,group stage,England,Panama,6,1,Nizhny Novgorod Stadium,Nizhny Novgorod
2018,group stage,Japan,Senegal,2,2,Central Stadium,Yekaterinburg
2018,group stage,Poland,Colombia,0,3,Kazan Arena,Kazan
2018,group stage,Saudi Arabia,Egypt,2,1,Volgograd Arena,Volgograd
2018,group stage,Uruguay,Russia,3,0,Samara Arena,Samara
2018,group stage,Spain,Morocco,2,2,Kaliningrad Stadium,Kaliningrad
2018,group stage,Iran,Portugal,1,1,Mordovia Arena,Saransk
2018,group stage,Australia,Peru,0,2,Fisht Olympic Stadium,Sochi
2018,group stage,Denmark,France,0,0,Luzhniki Stadium,Moscow
2018,group stage,Iceland,Croatia,1,2,Rostov Arena,Rostov-on-Don
2018,group stage,Nigeria,Argentina,1,2,Krestovsky Stadium,Saint Petersburg
2018,group stage,South Korea,Germany,2,0,Kazan Arena,Kazan
2018,group stage,Mexico,Sweden,0,3,Central Stadium,Yekaterinburg
2018,group stage,Serbia,Brazil,0,2,Otkritie Arena,Moscow
2018,group stage,Switzerland,Costa Rica,2,2,Nizhny Novgorod Stadium,Nizhny Novgorod
