Country,Category,Player,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Matches
Korea Republic,all_competitions,Opponent Total,,26.7,4.0,4.0,360,4.0,6.0,1.5,,,,2.0,0.0,2.0,2,50.0,2,2,0,0,0.0,
Korea Republic,all_competitions,Jo Hyeon-woo,GK,34.0,13.0,13.0,"1,170",13.0,8.0,0.62,18.0,11.0,55.6,8.0,5.0,0.0,6,46.2,0,0,0,0,,Matches
Korea Republic,all_competitions,Kim Seung-gyu,GK,35.0,2.0,2.0,180,2.0,0.0,0.0,,,,2.0,0.0,0.0,2,100.0,0,0,0,0,,Matches
Korea Republic,all_competitions,Lee Chang-keun,GK,32.0,1.0,1.0,90,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1,100.0,0,0,0,0,,Matches
Korea Republic,all_competitions,Squad Total,,30.3,16.0,16.0,"1,440",16.0,8.0,0.5,18.0,11.0,55.6,11.0,5.0,0.0,9,56.3,0,0,0,0,,
Korea Republic,all_competitions,Opponent Total,,29.8,16.0,16.0,"1,440",16.0,40.0,2.5,52.0,33.0,28.8,0.0,5.0,11.0,1,6.3,3,3,0,0,0.0,
Korea Republic,all_competitions,Jo Hyeon-woo,GK,34-262,15.0,15.0,"1,305",14.5,12.0,0.83,18.0,11.0,55.6,9.0,5.0,1.0,7,46.7,0,0,0,0,,Matches
Korea Republic,all_competitions,Kim Seung-gyu,GK,35-257,6.0,5.0,450,5.0,2.0,0.4,4.0,3.0,75.0,4.0,0.0,1.0,4,80.0,0,0,0,0,,Matches
Korea Republic,all_competitions,Lee Chang-keun,GK,32-288,1.0,1.0,90,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1,100.0,0,0,0,0,,Matches
Korea Republic,all_competitions,Song Bum-keun,GK,28-242,1.0,0.0,45,0.5,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,,Matches
Mexico,all_competitions,Raúl Rangel,GK,26-109,1.0,1.0,90,1.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,,Matches
Mexico,all_competitions,Squad Total,,28.1,1.0,1.0,90,1.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,,
Mexico,all_competitions,Opponent Total,,28.2,1.0,1.0,90,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0,0.0,0,0,0,0,,
Mexico,all_competitions,Raúl Rangel,GK,26-109,5.0,5.0,360,4.0,2.0,0.5,,,,3.0,2.0,0.0,3,60.0,0,0,0,0,,Matches
Mexico,all_competitions,Carlos Acevedo,GK,30-056,1.0,0.0,45,0.5,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,,Matches
Mexico,all_competitions,Guillermo Ochoa,GK,40-336,1.0,0.0,45,0.5,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,,Matches
Mexico,all_competitions,Squad Total,,27.7,5.0,5.0,450,5.0,2.0,0.4,,,,3.0,2.0,0.0,3,60.0,0,0,0,0,,
