,count,mean,std,min,25%,50%,75%,max
GK_Playing Time_Min,16.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0
GK_Playing Time_90s,16.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
GK_Performance_GA,16.0,1.1875,0.9810708435174292,0.0,1.0,1.0,1.25,4.0
GK_Performance_GA90,16.0,1.1875,0.9810708435174292,0.0,1.0,1.0,1.25,4.0
GK_Performance_SoTA,16.0,3.875,1.9621416870348585,1.0,2.0,4.0,5.0,8.0
GK_Performance_Saves,16.0,2.75,1.879716290649558,0.0,2.0,2.0,3.25,8.0
GK_Performance_Save%,16.0,67.0625,26.930797116560313,0.0,50.0,66.7,85.0,100.0
GK_Performance_W,16.0,0.3125,0.47871355387816905,0.0,0.0,0.0,1.0,1.0
GK_Performance_D,16.0,0.375,0.5,0.0,0.0,0.0,1.0,1.0
GK_Performance_L,16.0,0.3125,0.47871355387816905,0.0,0.0,0.0,1.0,1.0
GK_Performance_CS,16.0,0.1875,0.4031128874149275,0.0,0.0,0.0,0.0,1.0
GK_Performance_CS%,16.0,18.75,40.311288741492746,0.0,0.0,0.0,0.0,100.0
GK_Penalty Kicks_PKatt,16.0,0.0625,0.25,0.0,0.0,0.0,0.0,1.0
GK_Penalty Kicks_PKA,16.0,0.0625,0.25,0.0,0.0,0.0,0.0,1.0
GK_Penalty Kicks_PKsv,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GK_Penalty Kicks_PKm,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GK_Penalty Kicks_Save%,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
