Country,Player,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Canada,Owen Goodman,GK,22.54483230663929,0.0,0,,,,,,,,,,,,,,,
Canada,Alfie Jones,"DF,MF",28.684462696783026,0.0,0,,,,,,,,,,,,,,,
Canada,Jayden Nelson,"FW,MF",23.71457905544148,0.0,0,,,,,,,,,,,,,,,
Canada,Nathan Saliba,MF,22.347707049965777,0.0,0,,,,,,,,,,,,,,,
Canada,Niko Sigur,"DF,MF",22.761122518822724,0.0,0,,,,,,,,,,,,,,,
Canada,Dayne St. Clair,GK,29.098562628336754,0.0,0,,,,,,,,,,,,,,,
Canada,Joel Waterman,DF,30.386036960985628,0.0,0,,,,,,,,,,,,,,,
Czechia,Štěpán Chaloupek,DF,23.268309377138944,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Vladimír Coufal,MF,33.8104038329911,1.0,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Czechia,Robin Hranáč,DF,26.372347707049965,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Matej Kovar,GK,26.076659822039698,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Ladislav Krejčí,DF,27.150581793292265,1.0,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Czechia,Tomáš Souček,MF,31.292950034223136,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Jaroslav Zelený,MF,33.81587953456537,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Alexandr Sojka,MF,23.199863107460644,1.0,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Lukáš Provod,FW,29.640657084188913,1.0,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Patrik Schick,FW,30.386036960985628,1.0,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Pavel Šulc,FW,25.45722108145106,1.0,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Tomáš Chorý,FW,31.380561259411362,1.0,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Adam Hložek,"FW,MF",23.8870636550308,1.0,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Michal Sadílek,"DF,FW",27.03832991101985,1.0,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Mojmír Chytil,FW,27.125941136208077,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Lukáš Červ,MF,25.177960301163587,0.0,0,,,,,,,,,,,,,,,
Czechia,Vladimír Darida,MF,35.84873374401095,0.0,0,,,,,,,,,,,,,,,
Czechia,David Doudera,"DF,MF",28.03832991101985,0.0,0,,,,,,,,,,,,,,,
Czechia,Tomáš Holeš,"DF,MF",33.205338809034906,0.0,0,,,,,,,,,,,,,,,
Czechia,Lukáš Horníček,GK,23.919917864476385,0.0,0,,,,,,,,,,,,,,,
Czechia,David Jurásek,"DF,MF",25.851471594798085,0.0,0,,,,,,,,,,,,,,,
Czechia,Jan Kuchta,FW,29.42984257357974,0.0,0,,,,,,,,,,,,,,,
Czechia,Hugo Sochůrek,MF,18.019164955509925,0.0,0,,,,,,,,,,,,,,,
Czechia,Jindřich Staněk,GK,30.13141683778234,0.0,0,,,,,,,,,,,,,,,
Czechia,Denis Višinský,"FW,MF",23.23271731690623,0.0,0,,,,,,,,,,,,,,,
Czechia,David Zima,DF,25.5968514715948,0.0,0,,,,,,,,,,,,,,,
Haiti,Ricardo Adé,DF,36.06570841889117,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Carlens Arcus,DF,29.960985626283367,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Jean-Ricner Bellegarde,MF,27.9637234770705,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Hannes Delcroix,DF,27.290212183436005,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Martin Expérience,DF,27.265571526351813,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Danley Jean-Jacques,MF,26.0684462696783,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Frantzdy Pierrot,FW,31.210814510609172,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Johny Placide,GK,38.37234770704997,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Ruben Providence,MF,24.93634496919918,1.0,1,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Wilson Isidor,FW,25.79671457905544,1.0,1,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Louicius Deedson,MF,25.33675564681725,1.0,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Josué Casimir,"FW,MF",24.720054757015742,1.0,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Lenny Joseph,"FW,MF",25.670773442847366,1.0,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Yassin Fortuné,"FW,MF",27.369609856262834,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Josué Duverger,GK,26.13141683778234,0.0,0,,,,,,,,,,,,,,,
Haiti,Jean-Kevin Duverne,DF,28.922655715263517,0.0,0,,,,,,,,,,,,,,,
Haiti,Derrick Etienne,"FW,MF",29.550308008213552,0.0,0,,,,,,,,,,,,,,,
Haiti,Carl Fred Sainté,MF,23.84599589322382,0.0,0,,,,,,,,,,,,,,,
