Country,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
Belgium,Maxim De Cuyper,DF,25.0,4.6,2,11.0,5.0,45.5,2.39,1.09,0.18,0.4,0,0
Belgium,Hans Vanaken,MF,33.0,4.7,2,19.0,5.0,26.3,4.03,1.06,0.11,0.4,0,0
Belgium,Leandro Trossard,"MF,FW",31.0,4.4,1,10.0,3.0,30.0,2.28,0.68,0.1,0.33,0,0
Belgium,Thomas Meunier,DF,34.0,3.9,2,9.0,4.0,44.4,2.31,1.03,0.22,0.5,0,0
Belgium,Timothy Castagne,DF,30.0,4.6,0,5.0,2.0,40.0,1.09,0.44,0.0,0.0,0,0
Belgium,Youri Tielemans,MF,28.0,4.3,3,13.0,5.0,38.5,3.05,1.17,0.15,0.4,1,1
Belgium,Thibaut Courtois,GK,33.0,4.0,0,0.0,0.0,,0.0,0.0,,,0,0
Belgium,Charles De Ketelaere,FW,24.0,3.7,2,8.0,5.0,62.5,2.19,1.37,0.25,0.4,0,0
Belgium,Alexis Saelemaekers,"FW,MF",26.0,3.2,1,13.0,4.0,30.8,4.08,1.25,0.08,0.25,0,0
Belgium,Amadou Onana,MF,24.0,3.1,0,3.0,0.0,0.0,0.96,0.0,0.0,,0,0
Belgium,Matz Sels,GK,33.0,3.0,0,0.0,0.0,,0.0,0.0,,,0,0
Belgium,Wout Faes,DF,27.0,2.0,0,0.0,0.0,,0.0,0.0,,,0,0
Belgium,Romelu Lukaku,FW,32.0,1.9,1,5.0,2.0,40.0,2.63,1.05,0.0,0.0,1,1
Belgium,Koni De Winter,DF,23.0,2.2,0,1.0,1.0,100.0,0.45,0.45,0.0,0.0,0,0
Belgium,Loïs Openda,FW,25.0,1.7,0,3.0,1.0,33.3,1.78,0.59,0.0,0.0,0,0
Belgium,Malick Fofana,MF,20.0,1.6,1,7.0,2.0,28.6,4.34,1.24,0.14,0.5,0,0
Belgium,Brandon Mechele,DF,33.0,1.1,1,1.0,1.0,100.0,0.9,0.9,1.0,1.0,0,0
Belgium,Senne Lammens,GK,23.0,1.0,0,0.0,0.0,,0.0,0.0,,,0,0
Belgium,Joaquin Seys,DF,20.0,0.9,0,1.0,0.0,0.0,1.1,0.0,0.0,,0,0
Belgium,Dodi Lukebakio,"FW,MF",28.0,0.5,0,2.0,0.0,0.0,3.67,0.0,0.0,,0,0
Belgium,Axel Witsel,"DF,MF",37.0,0.5,0,0.0,0.0,,0.0,0.0,,,0,0
Belgium,Diego Moreira,MF,21.0,0.3,0,0.0,0.0,,0.0,0.0,,,0,0
Belgium,Charles Vanhoutte,MF,27.0,0.1,0,0.0,0.0,,0.0,0.0,,,0,0
Belgium,Romeo Vermant,FW,22.0,0.0,0,0.0,0.0,,0.0,0.0,,,0,0
Belgium,Jeremy Doku,"MF,FW",24.0493,9.8,5,27.0,10.0,37.0,3.79,1.4,0.19,0.5,0,0
Belgium,Kevin De Bruyne,MF,34.961,8.3,7,23.0,9.0,39.1,4.47,1.75,0.17,0.44,2,2
Belgium,Nicolas Raskin,MF,25.3039,8.0,2,11.0,4.0,36.4,1.86,0.68,0.09,0.25,0,0
Belgium,Arthur Theate,DF,26.0548,7.7,1,6.0,1.0,16.7,0.92,0.15,0.17,1.0,0,0
Belgium,Maxim De Cuyper,DF,25.4764,7.0,2,11.0,5.0,45.5,2.39,1.09,0.18,0.4,0,0
Belgium,Youri Tielemans,MF,29.104,7.0,4,13.0,5.0,38.5,3.05,1.17,0.15,0.4,1,1
Belgium,Zeno Debast,DF,22.6379,6.9,1,0.0,0.0,,0.0,0.0,,,0,0
Belgium,Timothy Castagne,DF,30.5229,6.3,0,5.0,2.0,40.0,1.09,0.44,0.0,0.0,0,0
Belgium,Charles De Ketelaere,FW,25.2628,6.2,4,8.0,5.0,62.5,2.19,1.37,0.25,0.4,1,1
Belgium,Thomas Meunier,DF,34.7529,6.1,2,9.0,4.0,44.4,2.31,1.03,0.22,0.5,0,0
Belgium,Thibaut Courtois,GK,34.0931,6.0,0,0.0,0.0,,0.0,0.0,,,0,0
Belgium,Amadou Onana,MF,24.8268,5.7,1,3.0,0.0,0.0,0.96,0.0,0.0,,0,0
Belgium,Hans Vanaken,MF,33.8049,5.3,2,19.0,5.0,26.3,4.03,1.06,0.11,0.4,0,0
