Country,Player,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Paraguay,Álex Arce,FW,30.993839835728952,0.3,1,0,0,1,0,0,0,0,1,,,0
Paraguay,Ramón Sosa,"FW,MF",26.78576317590691,0.1,0,0,0,0,1,0,0,0,0,,,0
Paraguay,Gustavo Velásquez,DF,35.158795345653665,0.1,0,0,0,0,0,0,0,0,0,,,0
Paraguay,Kaku,MF,31.421629021218344,0.1,0,0,0,1,1,0,0,0,0,,,0
Qatar,Mahmoud Abunada,GK,26.35318275154004,1.0,1,0,0,1,1,0,0,0,0,,,0
Qatar,Akram Afif,FW,29.569472963723477,1.0,0,0,0,0,2,0,4,0,1,,,0
Qatar,Homam Ahmed,DF,26.802190280629706,1.0,0,0,0,1,0,0,2,1,1,,,0
Qatar,Boualem Khoukhi,DF,35.930869267624914,1.0,0,0,0,2,0,0,0,2,1,,,0
Qatar,Issa Laye,MF,28.476386036960985,1.0,0,0,0,0,0,0,0,1,0,,,0
Qatar,Ró-Ró,DF,35.85420944558521,1.0,0,0,0,1,3,0,0,1,1,,,0
Qatar,Edmilson Junior,FW,31.8186173853525,1.0,0,0,0,3,1,0,2,0,0,,,0
Qatar,Assim Madibo,MF,29.643394934976044,0.9,0,0,0,1,1,0,0,3,0,,,0
Qatar,Yusuf Abdurisag,FW,26.854209445585216,0.7,0,0,0,0,2,0,0,0,1,,,0
Qatar,Jassem Gaber,MF,24.31211498973306,0.7,1,0,0,2,0,0,0,0,1,,,0
Qatar,Ayoub Al-Oui,DF,21.26009582477755,0.7,0,0,0,1,0,0,0,0,0,,,0
Qatar,Ahmed Alaaeldin,FW,33.3668720054757,0.3,0,0,0,0,0,0,0,0,1,,,0
Qatar,Karim Boudiaf,"DF,MF",35.7419575633128,0.3,0,0,0,0,1,0,0,0,0,,,0
Qatar,Ahmed Fathy,MF,33.38329911019849,0.3,0,0,0,0,0,0,0,1,2,,,0
Qatar,Mohamed Manai,DF,23.635181382614647,0.1,0,0,0,0,0,0,0,1,0,,,0
Qatar,Hassan Al-Haydos,"FW,MF",35.506502395619435,0.0,0,0,0,0,0,0,0,0,0,,,0
Scotland,Lewis Ferguson,MF,26.804928131416837,1.0,0,0,0,1,6,0,1,2,1,,,0
Scotland,Angus Gunn,GK,30.39151266255989,1.0,0,0,0,0,0,0,0,0,0,,,0
Scotland,Grant Hanley,DF,34.563997262149215,1.0,0,0,0,1,0,0,0,1,2,,,0
Scotland,Jack Hendry,DF,31.10403832991102,1.0,0,0,0,0,2,0,0,0,0,,,0
Scotland,Scott McTominay,MF,29.514715947980836,1.0,0,0,0,1,0,0,0,0,0,,,0
Scotland,Andy Robertson,DF,32.26009582477755,1.0,0,0,0,2,1,0,5,1,0,,,0
Scotland,John McGinn,MF,31.654346338124572,0.9,0,0,0,0,5,0,3,0,0,,,0
Scotland,Lawrence Shankland,FW,30.843258042436688,0.9,0,0,0,4,2,1,0,0,1,,,0
Scotland,Ché Adams,FW,29.919917864476385,0.8,0,0,0,4,1,0,0,0,0,,,0
Scotland,Ben Gannon-Doak,MF,20.588637919233403,0.8,0,0,0,0,1,0,2,0,0,,,0
Scotland,Aaron Hickey,DF,24.01095140314853,0.8,1,0,0,2,4,0,1,1,0,,,0
Scotland,Ryan Christie,"FW,MF",31.306639288158795,0.2,0,0,0,1,0,0,0,0,2,,,0
Scotland,Lyndon Dykes,"FW,MF",30.684462696783026,0.2,0,0,0,2,0,0,0,0,0,,,0
Scotland,Nathan Patterson,DF,24.659822039698838,0.2,0,0,0,1,0,0,0,0,0,,,0
Scotland,Findlay Curtis,MF,19.700889801505816,0.1,1,0,0,1,0,0,1,0,0,,,0
Scotland,Kenny McLean,"DF,MF",34.42984257357974,0.1,1,0,0,1,0,0,1,1,0,,,0
South Africa,Mbekezeli Mbokazi,DF,20.733744010951405,1.0,0,0,0,1,3,0,2,1,1,,,0
South Africa,Teboho Mokoena,MF,29.386036960985628,1.0,1,0,0,1,2,0,2,2,0,,,0
South Africa,Khuliso Mudau,DF,31.134154688569474,1.0,0,0,0,2,3,0,1,1,3,,,0
South Africa,Ime Okon,DF,22.31211498973306,1.0,0,0,0,0,0,0,0,0,1,,,0
South Africa,Nkosinathi Sibisi,DF,30.725530458590008,1.0,1,0,0,1,0,0,0,1,0,,,0
South Africa,Ronwen Williams,GK,34.394250513347025,1.0,0,0,0,0,0,0,0,1,0,,,0
South Africa,Aubrey Modiba,DF,30.895277207392198,0.8,0,0,0,2,2,1,2,0,1,,,0
South Africa,Iqraam Rayners,FW,30.484599589322382,0.8,0,0,0,0,0,0,1,0,0,,,0
South Africa,Jayden Adams,MF,25.109514031485283,0.7,0,0,0,0,0,0,0,0,0,,,0
South Africa,Lyle Foster,FW,25.777549623545518,0.6,0,0,0,0,1,0,0,0,0,,,0
South Africa,Sphephelo Sithole,MF,27.281998631074607,0.5,0,1,0,3,0,0,0,1,0,,,0
South Africa,Thalente Mbatha,MF,26.246406570841888,0.4,0,0,0,0,0,0,0,0,1,,,0
South Africa,Themba Zwane,"FW,MF",36.86242299794661,0.3,0,1,0,1,0,0,0,0,0,,,0
South Africa,Evidence Makgopa,FW,26.024640657084188,0.2,0,0,0,0,0,0,0,0,0,,,0
South Africa,Oswin Appollis,MF,24.802190280629706,0.2,0,0,0,0,0,0,0,0,0,,,0
Switzerland,Manuel Akanji,DF,30.903490759753595,1.0,0,0,0,0,0,0,0,0,1,,,0
Switzerland,Nico Elvedi,DF,29.70362765229295,1.0,0,0,0,2,0,0,0,2,0,,,0
Switzerland,Breel Embolo,FW,29.32854209445585,1.0,0,0,0,2,0,0,0,0,0,,,0
Switzerland,Gregor Kobel,GK,28.520191649555098,1.0,0,0,0,0,0,0,0,0,0,,,0
Switzerland,Granit Xhaka,MF,33.71184120465435,1.0,0,0,0,0,0,0,0,1,0,,,0
Switzerland,Denis Zakaria,DF,29.56399726214921,1.0,1,0,0,1,0,0,7,2,2,,,0
Switzerland,Remo Freuler,MF,34.16427104722793,1.0,0,0,0,2,1,1,2,0,1,,,0
Switzerland,Ricardo Rodríguez,DF,33.8021902806297,1.0,0,0,0,2,0,0,8,2,0,,,0
Switzerland,Ruben Vargas,MF,27.856947296372347,0.9,0,0,0,1,4,0,11,0,1,,,0
Switzerland,Michel Aebischer,MF,29.435318275154003,0.7,0,0,0,0,1,0,2,0,0,,,0
Switzerland,Dan Ndoye,MF,25.635181382614647,0.7,0,0,0,0,4,0,1,0,0,,,0
Switzerland,Johan Manzambi,MF,20.6652977412731,0.3,0,0,0,1,0,0,1,0,0,,,0
Switzerland,Fabian Rieder,"FW,MF",24.32306639288159,0.3,0,0,0,0,0,0,3,0,0,,,0
Switzerland,Zeki Amdouni,"FW,MF",25.525667351129364,0.1,0,0,0,0,2,0,0,0,1,,,0
Switzerland,Ardon Jashari,MF,23.87337440109514,0.0,0,0,0,0,0,0,0,0,0,,,0
Switzerland,Miro Muheim,"DF,MF",28.22450376454483,0.0,0,0,0,0,0,0,0,0,0,,,0
Türkiye,Abdülkerim Bardakcı,DF,31.76659822039699,1.0,0,0,0,0,2,0,1,1,1,,,0
Türkiye,Uğurcan Çakır,GK,30.191649555099247,1.0,0,0,0,0,0,0,0,0,0,,,0
Türkiye,Hakan Çalhanoğlu,MF,32.34496919917864,1.0,0,0,0,1,1,0,4,1,0,,,0
Türkiye,Merih Demiral,DF,28.27652292950034,1.0,0,0,0,0,1,2,0,0,1,,,0
Türkiye,Arda Güler,MF,21.298425735797398,1.0,0,0,0,0,2,0,5,1,1,,,0
Türkiye,Ferdi Kadioglu,DF,26.684462696783026,1.0,0,0,0,0,0,0,3,0,0,,,0
Türkiye,Kerem Aktürkoğlu,FW,27.646132785763175,0.9,0,0,0,0,2,0,0,0,1,,,0
Türkiye,Zeki Çelik,DF,29.320328542094455,0.9,0,0,0,1,0,0,0,0,0,,,0
Türkiye,İsmail Yüksek,MF,27.380561259411362,0.9,0,0,0,1,0,0,0,0,3,,,0
Türkiye,Orkun Kökçü,MF,25.45722108145106,0.7,0,0,0,0,3,0,4,0,0,,,0
Türkiye,Barış Alper Yılmaz,MF,26.060232717316907,0.5,0,0,0,0,0,1,7,0,0,,,0
Türkiye,Kenan Yıldız,"FW,MF",21.112251882272417,0.5,0,0,0,0,0,0,2,1,0,,,0
Türkiye,Yunus Akgün,MF,25.93634496919918,0.3,1,0,0,1,0,0,0,0,0,,,0
Türkiye,Mert Müldür,DF,27.197125256673512,0.1,0,0,0,0,0,0,0,0,0,,,0
Türkiye,Salih Özcan,MF,28.421629021218344,0.1,0,0,0,0,1,0,0,0,0,,,0
Türkiye,Deniz Gül,FW,21.95003422313484,0.1,0,0,0,0,0,0,0,0,0,,,0
United States,Tyler Adams,MF,27.32854209445585,1.0,1,0,0,2,3,0,0,3,2,,,0
United States,Alex Freeman,DF,21.84599589322382,1.0,0,0,0,1,0,0,1,2,1,,,0
