player,position,age,mp,starts,minutes,gls,ast,crdY,crdR,team,archivo_origen,number,club,birth_date,min,city_id,latitude,longitude,altitude_meters,id,team_name,league,matches_played,shots,goals,xg_for,fifa_code,iso2_code,city_name,country,venue_name,region_cluster,airport_code,match_number,home_team_id,away_team_id,stage_id,kickoff_at,match_label,birth_place,stadium_id,stadium_name,filename,group_letter,is_placeholder,nationality_name,nation_team_id,stage_name,stage_order,group,rank,w,d,l,gf,ga,gd,pts,last_5,team_code
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,2.0,Angers,Ligue 1,34.0,111.0,30.0,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,3.0,Arsenal,Premier League,38.0,186.0,67.0,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,4.0,Aston Villa,Premier League,38.0,170.0,53.0,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,5.0,Atalanta,Serie A,38.0,175.0,50.0,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,6.0,Athletic Club,La Liga,38.0,172.0,42.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,7.0,Atlético Madrid,La Liga,38.0,194.0,58.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,8.0,Augsburg,Bundesliga,34.0,157.0,45.0,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,9.0,Auxerre,Ligue 1,34.0,119.0,30.0,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,10.0,Barcelona,La Liga,38.0,225.0,94.0,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,11.0,Bayern Munich,Bundesliga,34.0,328.0,119.0,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
